종목명,업종명
대한제강,철강금속
대한제당,음식료품
대한제당우,음식료품
대한제분,음식료품
대한항공,운수창고업
대한항공우,운수창고업
대한해운,운수창고업
대한화섬,화학
대현,섬유의복
대호에이엘,철강금속
더블유게임즈,서비스업
더존비즈온,서비스업
덕성,화학
덕성우,화학
덕양산업,운수장비
덴티움,의료정밀
도화엔지니어링,서비스업
동국씨엠,철강금속
동국제강,철강금속
동국홀딩스,철강금속
동남합성,화학
동방,운수창고업
동방아그로,화학
동부건설,건설업
동부건설우,건설업
동서,유통업
동성제약,의약품
동성케미컬,서비스업
동아쏘시오홀딩스,기타금융
동아에스티,의약품
동아지질,건설업
동아타이어,화학
동양,비금속광물
동양2우B,비금속광물
동양고속,운수창고업
동양생명,보험
동양우,비금속광물
동양철관,철강금속
동양피스톤,운수장비
동원F&B,음식료품
동원금속,운수장비
동원산업,기타금융
동원수산,"농업, 임업 및 어업"
동원시스템즈,화학
동원시스템즈우,화학
동일고무벨트,화학
동일산업,철강금속
동일제강,철강금속
동화약품,의약품
두산,기타금융
두산2우B,기타금융
두산로보틱스,기계
두산밥캣,기계
두산에너빌리티,기계
두산우,기타금융
두산퓨얼셀,전기전자
두산퓨얼셀1우,전기전자
두산퓨얼셀2우B,전기전자
두올,운수장비
드림텍,전기전자
디씨엠,철강금속
디아이,의료정밀
디아이씨,운수장비
디앤디플랫폼리츠,서비스업
디와이,기타금융
디와이파워,기계
락앤락,화학
롯데관광개발,서비스업
롯데렌탈,서비스업
롯데리츠,서비스업
롯데손해보험,보험
롯데쇼핑,유통업
롯데에너지머티리얼즈,전기전자
롯데웰푸드,음식료품
롯데정밀화학,화학
롯데정보통신,서비스업
롯데지주,기타금융
롯데지주우,기타금융
롯데칠성,음식료품
롯데칠성우,음식료품
롯데케미칼,화학
롯데하이마트,유통업
마니커,음식료품
마스턴프리미어리츠,서비스업
만호제강,철강금속
맥쿼리인프라,기타금융
맵스리얼티1,기타금융
메리츠금융지주,기타금융
메타랩스,섬유의복
명문제약,의약품
명신산업,운수장비
모나리자,종이목재
모나미,유통업
모두투어리츠,서비스업
모토닉,운수장비
무림P&P,종이목재
무림페이퍼,종이목재
무학,음식료품
문배철강,철강금속
미래산업,의료정밀
미래아이앤지,서비스업
미래에셋글로벌리츠,서비스업
미래에셋맵스리츠,서비스업
미래에셋생명,보험
미래에셋증권,증권
미래에셋증권2우B,증권
미래에셋증권우,증권
미원상사,화학
미원에스씨,화학
미원홀딩스,기타금융
미원화학,화학
미창석유,화학
바다로19호,서비스업
바이오노트,의약품
방림,섬유의복
백광산업,화학
백산,화학
범양건영,건설업
벽산,비금속광물
보락,화학
보령,의약품
보해양조,음식료품
부광약품,의약품
부국증권,증권
부국증권우,증권
부국철강,철강금속
부산산업,비금속광물
부산주공,운수장비
비비안,섬유의복
비상교육,서비스업
비에이치,전기전자
비케이탑스,서비스업
빙그레,음식료품
사조대림,음식료품
사조동아원,음식료품
사조산업,"농업, 임업 및 어업"
사조씨푸드,음식료품
사조오양,음식료품
삼부토건,건설업
삼성FN리츠,서비스업
삼성SDI,전기전자
삼성SDI우,전기전자
삼성공조,운수장비
삼성물산,유통업
삼성물산우B,유통업
삼성바이오로직스,의약품
삼성생명,보험
삼성에스디에스,서비스업
삼성엔지니어링,서비스업
삼성전기,전기전자
삼성전기우,전기전자
삼성전자,전기전자
삼성전자우,전기전자
삼성제약,의약품
삼성중공업,운수장비
삼성증권,증권
삼성출판사,서비스업
삼성카드,기타금융
삼성화재,보험
삼성화재우,보험
삼아알미늄,철강금속
삼양사,음식료품
삼양사우,음식료품
삼양식품,음식료품
삼양통상,기타제조업
삼양패키징,화학
삼양홀딩스,기타금융
삼양홀딩스우,기타금융
삼영,화학
삼영무역,유통업
삼영전자,전기전자
삼원강재,운수장비
삼익THK,기계
삼익악기,기타제조업
삼일씨엔에스,비금속광물
삼일제약,의약품
삼정펄프,종이목재
삼진제약,의약품
삼천리,전기가스업
삼호개발,건설업
삼화왕관,기계
삼화전기,전기전자
삼화전자,전기전자
삼화콘덴서,전기전자
삼화페인트,화학
상상인증권,증권
상신브레이크,운수장비
새론오토모티브,운수장비
샘표,기타금융
샘표식품,음식료품
서연,기타금융
서연이화,운수장비
서울가스,전기가스업
서울식품,음식료품
서울식품우,음식료품
서원,철강금속
서흥,화학
선도전기,전기전자
선진,음식료품
성문전자,전기전자
성문전자우,전기전자
성보화학,화학
성신양회,비금속광물
성신양회우,비금속광물
성안,섬유의복
성창기업지주,서비스업
세기상사,유통업
세방,운수창고업
세방우,운수창고업
세방전지,전기전자
세아베스틸지주,철강금속
세아제강,철강금속
세아제강지주,기타금융
세아특수강,철강금속
세아홀딩스,철강금속
세우글로벌,유통업
세원이앤씨,기계
세원정공,운수장비
세이브존I&C,유통업
세종공업,운수장비
세진중공업,운수장비
셀트리온,의약품
솔루스첨단소재,전기전자
솔루스첨단소재1우,전기전자
솔루스첨단소재2우B,전기전자
솔루엠,전기전자
송원산업,화학
수산인더스트리,건설업
수산중공업,기계
스카이라이프,서비스업
스틱인베스트먼트,기타금융
시디즈,기타제조업
신대양제지,종이목재
신도리코,전기전자
신라교역,"농업, 임업 및 어업"
신성이엔지,전기전자
신성통상,유통업
신세계,유통업
신세계 I&C,서비스업
신세계건설,건설업
신세계인터내셔날,유통업
신세계푸드,서비스업
신송홀딩스,유통업
신영와코루,섬유의복
신영증권,증권
신영증권우,증권
신원,섬유의복
신일전자,유통업
신풍,유통업
신풍제약,의약품
신풍제약우,의약품
신한서부티엔디리츠,서비스업
신한알파리츠,서비스업
신한지주,기타금융
신흥,유통업
쌍방울,섬유의복
쌍용C&E,비금속광물
써니전자,전기전자
쏘카,서비스업
씨아이테크,기타제조업
씨에스윈드,기계
씨티알모빌리티,운수장비
아남전자,전기전자
아모레G,화학
아모레G3우(전환),화학
아모레G우,화학
아모레퍼시픽,화학
아모레퍼시픽우,화학
아세아,서비스업
아세아시멘트,비금속광물
아세아제지,종이목재
아센디오,서비스업
아시아나IDT,서비스업
아시아나항공,운수창고업
아이마켓코리아,유통업
아이에스동서,비금속광물
아주스틸,철강금속
알루코,철강금속
애경산업,화학
애경케미칼,화학
에넥스,기타제조업
에스디바이오센서,의료정밀
에스메디,유통업
에스엘,운수장비
에스엠벡셀,운수장비
에스원,서비스업
에쓰씨엔지니어링,건설업
에어부산,운수창고업
에이리츠,서비스업
에이블씨엔씨,화학
에이엔피,전기전자
에이프로젠,기계
에이프로젠바이오로직스,의약품
에이플러스에셋,기타금융
에코바이브,서비스업
엔씨소프트,서비스업
엔에이치스팩19호,기타금융
엔케이,기계
엘브이엠씨홀딩스,유통업
엠씨넥스,전기전자
영보화학,화학
영원무역,유통업
영원무역홀딩스,기타금융
영진약품,의약품
영풍,철강금속
영풍제지,종이목재
영화금속,운수장비
영흥,철강금속
예스코홀딩스,서비스업
오뚜기,음식료품
오리엔트바이오,의약품
오리온,음식료품
오리온홀딩스,기타금융
와이투솔루션,전기전자
용평리조트,서비스업
우리금융지주,기타금융
우성,음식료품
우신시스템,기계
우진,의료정밀
우진아이엔에스,건설업
우진플라임,기계
웅진,서비스업
웅진씽크빅,서비스업
원림,섬유의복
웰바이오텍,유통업
윌비스,유통업
유나이티드제약,의약품
유니드,화학
유니드비티플러스,종이목재
유니온,비금속광물
유니온머티리얼,비금속광물
유니켐,기타제조업
유니퀘스트,유통업
유성기업,운수장비
유수홀딩스,서비스업
유안타증권,증권
유안타증권우,증권
유엔젤,서비스업
유유제약,의약품
유유제약1우,의약품
유유제약2우B,의약품
유진투자증권,증권
유한양행,의약품
유한양행우,의약품
유화증권,증권
유화증권우,증권
율촌화학,화학
이건산업,종이목재
이구산업,철강금속
이노션,서비스업
이리츠코크렙,서비스업
이마트,유통업
이수스페셜티케미컬,화학
이수페타시스,전기전자
이수화학,화학
이스타코,서비스업
이아이디,유통업
이엔플러스,기계
이연제약,의약품
이월드,기타제조업
이지스레지던스리츠,서비스업
이지스밸류리츠,서비스업
이화산업,유통업
인디에프,섬유의복
인바이오젠,유통업
인스코비,통신업
인지컨트롤스,운수장비
인천도시가스,전기가스업
인터지스,운수창고업
인팩,운수장비
일동제약,의약품
일동홀딩스,의약품
일성건설,건설업
일성신약,의약품
일신방직,섬유의복
일신석재,유통업
일양약품,의약품
일양약품우,의약품
일정실업,섬유의복
일진다이아,화학
일진디스플,전기전자
일진전기,전기전자
일진하이솔루스,운수장비
일진홀딩스,기타금융
잇츠한불,화학
자이에스앤디,서비스업
자화전자,전기전자
전방,섬유의복
제이알글로벌리츠,서비스업
제이에스코퍼레이션,기타제조업
제이준코스메틱,화학
제일기획,서비스업
제일약품,의약품
제일연마,비금속광물
제일파마홀딩스,서비스업
제주은행,은행
제주항공,운수창고업
조광페인트,화학
조광피혁,기타제조업
조비,화학
조선내화,비금속광물
조선선재,기계
조일알미늄,철강금속
조흥,음식료품
종근당,의약품
종근당바이오,의약품
종근당홀딩스,의약품
주연테크,전기전자
지누스,기타제조업
지엠비코리아,운수장비
지역난방공사,전기가스업
진도,유통업
진양산업,화학
진양폴리,화학
진양홀딩스,화학
진양화학,화학
진에어,운수창고업
진원생명과학,의약품
진흥기업,건설업
진흥기업2우B,건설업
진흥기업우B,건설업
참엔지니어링,기계
