종목명,업종명
동운아나텍,반도체
동원개발,건설
동일금속,금속
동일기연,IT부품
동일철강,금속
동진쎄미켐,반도체
동화기업,종이·목재
두산테스나,반도체
듀오백,기타제조
드래곤플라이,디지털컨텐츠
드림시큐리티,출판·매체복제
드림씨아이에스,기타서비스
드림어스컴퍼니,디지털컨텐츠
디딤이앤에프,숙박·음식
디모아,유통
디바이스이엔지,반도체
디스플레이텍,IT부품
디아이티,IT부품
디알젬,의료·정밀기기
디알텍,의료·정밀기기
디앤씨미디어,디지털컨텐츠
디어유,소프트웨어
디에스앤엘,유통
디에스케이,기계·장비
디에이테크놀로지,기계·장비
디에이피,IT부품
디엔에이링크,기타서비스
디엔에프,화학
디오,의료·정밀기기
디와이디,유통
디와이씨,운송장비·부품
디와이피엔에프,기계·장비
디이엔티,기계·장비
디젠스,운송장비·부품
디지아이,정보기기
디지캡,출판·매체복제
디지털대성,기타서비스
디지틀조선,디지털컨텐츠
디케이락,기계·장비
디케이앤디,화학
디케이티,IT부품
디티앤씨,기타서비스
디티앤씨알오,기타서비스
딜리,정보기기
딥노이드,소프트웨어
라닉스,일반전기전자
라온시큐어,소프트웨어
라온테크,반도체
라온텍,반도체
라온피플,IT부품
라이온켐텍,화학
라이콤,통신장비
라이트론,통신장비
라이프시맨틱스,소프트웨어
라파스,화학
래몽래인,오락·문화
램테크놀러지,반도체
랩지노믹스,기타서비스
러셀,기계·장비
레고켐바이오,기타서비스
레드캡투어,기타서비스
레몬,화학
레뷰코퍼레이션,소프트웨어
레이,의료·정밀기기
레이언스,의료·정밀기기
레이저쎌,반도체
레이크머티리얼즈,화학
레인보우로보틱스,기계·장비
로보로보,디지털컨텐츠
로보스타,기계·장비
로보티즈,소프트웨어
로스웰,금융
로지시스,컴퓨터서비스
로체시스템즈,반도체
루닛,소프트웨어
루멘스,반도체
루트로닉,의료·정밀기기
루트로닉3우C,의료·정밀기기
룽투코리아,디지털컨텐츠
리노공업,반도체
리노스,컴퓨터서비스
리더스 기술투자,금융
리더스코스메틱,화학
리드코프,유통
리메드,의료·정밀기기
리튬포어스,기타제조
리파인,기타서비스
린드먼아시아,금융
링네트,컴퓨터서비스
링크제니시스,소프트웨어
마녀공장,화학
마니커에프앤지,음식료·담배
마음AI,소프트웨어
마이크로디지탈,의료·정밀기기
마이크로컨텍솔,반도체
마이크로투나노,반도체
마크로젠,기타서비스
매일유업,음식료·담배
매일홀딩스,음식료·담배
매커스,유통
맥스트,소프트웨어
머큐리,일반전기전자
멀티캠퍼스,디지털컨텐츠
메가스터디,출판·매체복제
메가스터디교육,기타서비스
메가엠디,기타서비스
메드팩토,기타서비스
메디아나,의료·정밀기기
메디앙스,화학
메디콕스,운송장비·부품
메디톡스,제약
메디포스트,제약
메디프론,유통
메쎄이상,기타서비스
메이슨캐피탈,금융
메지온,기타서비스
메카로,반도체
메타바이오메드,제약
멕아이씨에스,의료·정밀기기
명성티엔에스,IT부품
모니터랩,소프트웨어
모다이노칩,IT부품
모델솔루션,기계·장비
모두투어,기타서비스
모바일어플라이언스,소프트웨어
모베이스,IT부품
모베이스전자,운송장비·부품
모비데이즈,기타서비스
모비릭스,디지털컨텐츠
모비스,소프트웨어
모아데이타,소프트웨어
모아텍,IT부품
모코엠시스,소프트웨어
모트렉스,운송장비·부품
모헨즈,비금속
무림SP,종이·목재
미디어젠,소프트웨어
미래나노텍,IT부품
미래반도체,유통
미래생명자원,음식료·담배
미래에셋드림스팩1호,금융
미래에셋벤처투자,금융
미래에셋비전스팩1호,금융
미래에셋비전스팩2호,금융
미래에셋비전스팩3호,금융
미래컴퍼니,기계·장비
미스터블루,디지털컨텐츠
미코,반도체
미코바이오메드,의료·정밀기기
미투온,디지털컨텐츠
미투젠,출판·매체복제
밀리의서재,디지털컨텐츠
바디텍메드,제약
바른손,유통
바른손이앤에이,오락·문화
바이넥스,제약
바이브컴퍼니,소프트웨어
바이오니아,제약
바이오다인,의료·정밀기기
바이오로그디바이스,IT부품
바이오솔루션,제약
바이오스마트,정보기기
바이오에프디엔씨,제약
바이오인프라,기타서비스
바이오톡스텍,기타서비스
바이오플러스,제약
바이온,유통
바이옵트로,기계·장비
바이젠셀,제약
바텍,의료·정밀기기
박셀바이오,기타서비스
배럴,섬유·의류
백금T&A,통신장비
밸로프,디지털컨텐츠
버넥트,소프트웨어
버킷스튜디오,통신서비스
범한퓨얼셀,일반전기전자
베노티앤알,건설
베뉴지,유통
베셀,반도체
베스파,디지털컨텐츠
벨로크,컴퓨터서비스
보광산업,비금속
보라티알,유통
보로노이,제약
보성파워텍,금속
본느,화학
부방,기타서비스
부스타,금속
뷰노,소프트웨어
뷰웍스,의료·정밀기기
뷰티스킨,화학
브랜드엑스코퍼레이션,인터넷
브레인즈컴퍼니,소프트웨어
브리지텍,컴퓨터서비스
브릿지바이오테라퓨틱스,제약
브이씨,기타제조
브이원텍,기계·장비
브이티,화학
블레이드 Ent,화학
블루콤,IT부품
블리츠웨이,기타제조
비나텍,IT부품
비덴트,통신장비
비디아이,기계·장비
비보존 제약,제약
비비씨,기타제조
비스토스,의료·정밀기기
비씨엔씨,반도체
비씨월드제약,제약
비아트론,반도체
비에이치아이,기계·장비
비엔케이제1호스팩,금융
비엘,기타서비스
비엘팜텍,유통
비엠티,기계·장비
비올,의료·정밀기기
비즈니스온,소프트웨어
비츠로셀,IT부품
비츠로시스,일반전기전자
비츠로테크,금융
비케이홀딩스,IT부품
비투엔,소프트웨어
비트나인,소프트웨어
비트컴퓨터,소프트웨어
비플라이소프트,소프트웨어
비피도,음식료·담배
빅솔론,정보기기
빅텍,의료·정밀기기
빅텐츠,오락·문화
빛샘전자,반도체
사람인,인터넷
산돌,소프트웨어
삼기,운송장비·부품
삼기이브이,운송장비·부품
삼륭물산,종이·목재
삼목에스폼,금속
삼보모터스,운송장비·부품
삼보산업,금속
삼보판지,종이·목재
삼성머스트스팩5호,금융
삼성스팩4호,금융
삼성스팩6호,금융
삼성스팩7호,금융
삼성스팩8호,금융
삼아제약,제약
삼양옵틱스,의료·정밀기기
삼영에스앤씨,일반전기전자
삼영엠텍,금속
삼영이엔씨,통신장비
삼일,운송
삼일기업공사,건설
삼지전자,통신장비
삼진,일반전기전자
삼진엘앤디,IT부품
삼천당제약,제약
삼천리자전거,유통
삼표시멘트,비금속
삼현철강,금속
삼화네트웍스,오락·문화
상보,화학
상상인,컴퓨터서비스
상상인인더스트리,기계·장비
상상인제3호스팩,금융
상상인제4호스팩,금융
상신이디피,IT부품
상신전자,일반전기전자
상아프론테크,화학
상지카일룸,건설
새로닉스,IT부품
새빗켐,화학
샌즈랩,소프트웨어
샘씨엔에스,반도체
샤페론,제약
서남,일반전기전자
서린바이오,유통
서부T&D,숙박·음식
서산,비금속
서암기계공업,기계·장비
서연탑메탈,기계·장비
서울리거,유통
서울바이오시스,IT부품
서울반도체,반도체
서울옥션,유통
서울전자통신,IT부품
서울제약,제약
서원인텍,IT부품
서전기전,일반전기전자
서진시스템,통신장비
서진오토모티브,운송장비·부품
서플러스글로벌,유통
서한,건설
서호전기,일반전기전자
서희건설,건설
석경에이티,화학
선광,운송
선바이오,제약
선익시스템,반도체
선진뷰티사이언스,화학
성광벤드,금속
성도이엔지,기타서비스
성우전자,IT부품
성우테크론,반도체
성우하이텍,운송장비·부품
성일하이텍,화학
성창오토텍,운송장비·부품
성호전자,IT부품
세경하이테크,일반전기전자
세동,운송장비·부품
세림B&G,화학
세명전기,금속
세보엠이씨,건설
세아메카닉스,금속
세운메디칼,제약
세원물산,운송장비·부품
세종메디칼,의료·정밀기기
세종텔레콤,통신서비스
세중,소프트웨어
세진티에스,IT부품
세코닉스,의료·정밀기기
세토피아,금속
세화피앤씨,화학
센서뷰,IT부품
센코,의료·정밀기기
셀레믹스,제약
셀루메드,제약
셀리드,기타서비스
셀리버리,기타서비스
셀바스AI,소프트웨어
셀바스헬스케어,의료·정밀기기
셀바이오휴먼텍,섬유·의류
셀트리온제약,제약
셀트리온헬스케어,유통
셀피글로벌,정보기기
소니드,화학
소룩스,일반전기전자
소마젠,기타서비스
소프트센,컴퓨터서비스
소프트센우,컴퓨터서비스
소프트캠프,출판·매체복제
손오공,유통
솔고바이오,의료·정밀기기
솔본,기타서비스
솔브레인,화학
솔브레인홀딩스,기타서비스
솔트룩스,소프트웨어
솔트웨어,컴퓨터서비스
쇼박스,오락·문화
수산아이앤티,출판·매체복제
수성샐바시온,기계·장비
수젠텍,의료·정밀기기
슈어소프트테크,소프트웨어
슈프리마,일반전기전자
슈프리마에이치큐,컴퓨터서비스
슈피겐코리아,IT부품
스마트레이더시스템,정보기기
스마트솔루션즈,기계·장비
스맥,기계·장비
스카이문스테크놀로지,디지털컨텐츠
스코넥,디지털컨텐츠
스킨앤스킨,반도체
스타플렉스,화학
스톤브릿지벤처스,금융
스튜디오드래곤,오락·문화
스튜디오미르,방송서비스
스튜디오산타클로스,오락·문화
스페코,기계·장비
스피어파워,종이·목재
승일,금속
시공테크,기타서비스
시그네틱스,반도체
시너지이노베이션,의료·정밀기기
시노펙스,IT부품
시스웍,의료·정밀기기
시지트로닉스,반도체
시큐레터,소프트웨어
시큐브,소프트웨어
시큐센,소프트웨어
시티랩스,컴퓨터서비스
신도기연,기계·장비
신라섬유,유통
신라에스지,유통
신라젠,기타서비스
신성델타테크,일반전기전자
신스틸,금속
신신제약,제약
신영스팩7호,금융
신영스팩8호,금융
신영스팩9호,금융
신원종합개발,건설
신일제약,제약
신진에스엠,금속
신테카바이오,출판·매체복제
신한제10호스팩,금융
신한제11호스팩,금융
신한제8호스팩,금융
신한제9호스팩,금융
신화인터텍,IT부품
신화콘텍,IT부품
신흥에스이씨,IT부품
실리콘투,유통
심텍,반도체
심텍홀딩스,IT부품
싸이맥스,반도체
싸이버원,소프트웨어
싸이토젠,기타서비스
쌍용정보통신,컴퓨터서비스
썸에이지,출판·매체복제
쎄노텍,비금속
쎄니트,금속
쎄트렉아이,통신장비
쎌바이오텍,제약
쏠리드,통신장비
씨씨에스,방송서비스
씨아이에스,기계·장비
씨앤씨인터내셔널,화학
씨앤지하이테크,반도체
씨앤투스,섬유·의류
씨에스베어링,기계·장비
씨엔알리서치,기타서비스
씨엔플러스,IT부품
씨유메디칼,의료·정밀기기
씨유박스,소프트웨어
씨유테크,IT부품
씨이랩,소프트웨어
씨젠,제약
씨케이에이치,금융
씨큐브,화학
씨티씨바이오,제약
씨티케이,화학
씨티프라퍼티,유통
아가방컴퍼니,유통
아나패스,반도체
아난티,숙박·음식
아리온,통신장비
아모그린텍,IT부품
아모센스,IT부품
아모텍,IT부품
아미노로직스,유통
아미코젠,음식료·담배
아바코,기계·장비
아바텍,IT부품
아비코전자,일반전기전자
아세아텍,기계·장비
아셈스,화학
아스타,제약
아스트,운송장비·부품
아스플로,기계·장비
아시아경제,디지털컨텐츠
아시아종묘,"농업, 임업 및 어업"
아우딘퓨쳐스,화학
아이디스,통신장비
아이디스홀딩스,기타서비스
아이디피,정보기기
아이비김영,기타서비스
아이센스,의료·정밀기기
아이스크림에듀,출판·매체복제
아이쓰리시스템,일반전기전자
아이씨디,반도체
아이씨에이치,기타제조
아이앤씨,반도체
아이에스이커머스,유통
아이에이,반도체
아이엘사이언스,일반전기전자
아이엠,IT부품
아이엠티,기계·장비
아이오케이,오락·문화
아이윈,운송장비·부품
아이윈플러스,반도체
아이즈비전,통신장비
아이진,기타서비스
아이컴포넌트,IT부품
아이퀘스트,소프트웨어
아이큐어,제약
아이크래프트,컴퓨터서비스
아이텍,반도체
아이톡시,유통
아이티센,컴퓨터서비스
아이티아이즈,소프트웨어
아이티엠반도체,반도체
아이패밀리에스씨,화학
아주IB투자,금융
아즈텍WB,섬유·의류
아진산업,운송장비·부품
아진엑스텍,반도체
아톤,소프트웨어
아프리카TV,소프트웨어
안국약품,제약
안랩,소프트웨어
안트로젠,유통
알로이스,통신장비
알리코제약,제약
알멕,금속
알비더블유,오락·문화
알서포트,디지털컨텐츠
알에스오토메이션,IT부품
알에프세미,반도체
알에프텍,통신장비
알엔투테크놀로지,정보기기
알체라,소프트웨어
알테오젠,기타서비스
알톤스포츠,운송장비·부품
알티캐스트,소프트웨어
알파홀딩스,반도체
알피바이오,제약
압타머사이언스,기타서비스
압타바이오,기타서비스
애니젠,제약
애니플러스,오락·문화
애드바이오텍,제약
애머릿지,유통
액션스퀘어,디지털컨텐츠
액토즈소프트,디지털컨텐츠
액트로,IT부품
앤디포스,비금속
앤씨앤,반도체
앱코,정보기기
앱클론,제약
야스,IT부품
양지사,출판·매체복제
어보브반도체,반도체
어스앤에어로스페이스,운송장비·부품
얼라인드,의료·정밀기기
에너토크,기계·장비
에브리봇,일반전기전자
에스넷,컴퓨터서비스
에스디생명공학,화학
에스디시스템,정보기기
에스바이오메딕스,제약
에스비비테크,기계·장비
에스씨디,일반전기전자
에스씨엠생명과학,제약
에스아이리소스,화학
에스앤더블류,기계·장비
에스앤디,음식료·담배
에스앤에스텍,반도체
에스에너지,IT부품
에스에스알,소프트웨어
에스에이엠티,유통
에스에이티,통신장비
에스에이티이엔지,IT부품
에스에프에이,기계·장비
에스엔유,기계·장비
에스엘에너지,반도체
에스엠,오락·문화
에스엠코어,기계·장비
에스와이,금속
에스유홀딩스,유통
에스제이그룹,섬유·의류
에스케이증권제10호스팩,금융
에스케이증권제8호스팩,금융
에스케이증권제9호스팩,금융
에스코넥,IT부품
에스텍,일반전기전자
에스텍파마,제약
에스트래픽,소프트웨어
에스티아이,반도체
에스티오,섬유·의류
에스티큐브,IT부품
에스티팜,제약
에스폴리텍,화학
에스퓨얼셀,일반전기전자
에스피시스템스,기계·장비
에스피지,IT부품
에쎈테크,기계·장비
에이디엠코리아,기타서비스
에이디칩스,기타제조
에이디테크놀로지,반도체
에이루트,정보기기
에이비엘바이오,제약
에이비온,기타서비스
에이비프로바이오,기계·장비
에이스침대,기타제조
에이스테크,통신장비
에이스토리,오락·문화
에이에프더블류,일반전기전자
에이엘티,반도체
에이치시티,기타서비스
에이치앤비디자인,일반전기전자
에이치엘사이언스,음식료·담배
에이치와이티씨,IT부품
에이치케이,기계·장비
에이치피오,음식료·담배
에이테크솔루션,기계·장비
에이텍,정보기기
에이텍모빌리티,정보기기
에이트원,출판·매체복제
에이티넘인베스트,금융
에이티세미콘,반도체
에이팩트,반도체
에이프로,일반전기전자
에이프로젠 H&G,유통
에이프릴바이오,기타서비스
에이피티씨,기계·장비
에치에프알,통신장비
에코마케팅,기타서비스
에코바이오,기타서비스
에코볼트,운송장비·부품
에코앤드림,화학
에코캡,운송장비·부품
에코프로,금융
에코프로비엠,일반전기전자
에코프로에이치엔,화학
에코플라스틱,운송장비·부품
에프알텍,통신장비
에프앤가이드,기타서비스
에프에스티,반도체
에프엔씨엔터,오락·문화
에프엔에스테크,기계·장비
엑사이엔씨,건설
엑서지21,유통
엑세스바이오,제약
엑셈,소프트웨어
엑스게이트,소프트웨어
엑스큐어,소프트웨어
엑스페릭스,일반전기전자
엑시콘,반도체
엔바이오니아,기타제조
엔브이에이치코리아,운송장비·부품
엔비티,기타서비스
엔시스,일반전기전자
엔시트론,반도체
엔에이치스팩20호,금융
엔에이치스팩23호,금융
엔에이치스팩24호,금융
엔에이치스팩25호,금융
엔에이치스팩26호,금융
엔에이치스팩27호,금융
엔에이치스팩28호,금융
엔에이치스팩29호,금융
엔에프씨,화학
엔젠바이오,기타서비스
엔젯,기계·장비
엔지스테크널러지,소프트웨어
엔지켐생명과학,제약
엔케이맥스,제약
엔켐,화학
엔터파트너즈,화학
엔텔스,소프트웨어
엔투텍,기계·장비
엔피,기타서비스
엔피디,IT부품
엔피케이,화학
엘디티,반도체
엘아이에스,반도체
엘앤씨바이오,제약
엘앤에프,일반전기전자
엘앤케이바이오,의료·정밀기기
엘엠에스,IT부품
엘오티베큠,반도체
엘컴텍,IT부품
엘티씨,반도체
엠게임,디지털컨텐츠
엠로,소프트웨어
엠벤처투자,금융
엠브레인,기타서비스
엠아이큐브솔루션,소프트웨어
엠아이텍,의료·정밀기기
엠에스씨,음식료·담배
엠에스오토텍,운송장비·부품
엠에프엠코리아,섬유·의류
엠젠솔루션,정보기기
엠케이전자,반도체
엠투아이,정보기기
엠투엔,금속
엠플러스,기계·장비
연우,화학
영림원소프트랩,소프트웨어
영우디에스피,반도체
영풍정밀,기계·장비
영화테크,운송장비·부품
예림당,출판·매체복제
예선테크,화학
예스24,인터넷
예스티,반도체
오가닉티코스메틱,금융
오공,화학
오디텍,반도체
오로라,기타서비스
오로스테크놀로지,기계·장비
오르비텍,기타서비스
오리엔탈정공,기계·장비
오리엔트정공,운송장비·부품
오리콤,기타서비스
오브젠,소프트웨어
오비고,소프트웨어
오상자이엘,소프트웨어
오성첨단소재,IT부품
오션브릿지,반도체
오스코텍,제약
오스테오닉,의료·정밀기기
오스템,운송장비·부품
오에스피,음식료·담배
오이솔루션,통신장비
오킨스전자,반도체
오텍,운송장비·부품
오토앤,유통
오파스넷,소프트웨어
오픈놀,소프트웨어
오픈베이스,컴퓨터서비스
오픈엣지테크놀로지,소프트웨어
오하임앤컴퍼니,유통
올리패스,제약
올릭스,기타서비스
옴니시스템,의료·정밀기기
옵투스제약,제약
옵트론텍,IT부품
옵티시스,통신장비
옵티코어,통신장비
옵티팜,제약
와이더플래닛,출판·매체복제
와이랩,디지털컨텐츠
와이솔,반도체
와이씨켐,반도체
와이아이케이,반도체
와이어블,통신서비스
와이엔텍,기타서비스
와이엠,금속
와이엠씨,IT부품
와이엠텍,일반전기전자
와이엠티,화학
와이오엠,유통
와이제이엠게임즈,IT부품
와이즈버즈,기타서비스
와이지-원,금속
와이지엔터테인먼트,오락·문화
와이팜,IT부품
와토스코리아,화학
우듬지팜,음식료·담배
우리기술,일반전기전자
우리기술투자,금융
우리넷,통신장비
우리로,유통
우리바이오,일반전기전자
우리산업,운송장비·부품
우리산업홀딩스,운송장비·부품
우리손에프앤지,음식료·담배
우리엔터프라이즈,유통
우리이앤엘,반도체
우림피티에스,기계·장비
우수AMS,운송장비·부품
우양,음식료·담배
우원개발,건설
우정바이오,기타서비스
우주일렉트로,IT부품
우진비앤지,제약
원바이오젠,제약
원익,유통
원익IPS,반도체
원익QnC,비금속
원익머트리얼즈,반도체
원익큐브,유통
원익피앤이,기계·장비
원익홀딩스,기계·장비
원일특강,금속
원준,기계·장비
원텍,의료·정밀기기
원티드랩,소프트웨어
원풍,화학
원풍물산,섬유·의류
월덱스,반도체
웨스트라이즈,유통
웨이버스,출판·매체복제
웨이브일렉트로,IT부품
웰크론,섬유·의류
웰크론한텍,건설
웰킵스하이텍,반도체
웹스,화학
웹젠,디지털컨텐츠
웹케시,금융
위니아,일반전기전자
위니아에이드,유통
위닉스,일반전기전자
위더스제약,제약
위드텍,의료·정밀기기
위메이드,디지털컨텐츠
위메이드맥스,디지털컨텐츠
위메이드플레이,디지털컨텐츠
위세아이텍,출판·매체복제
위즈코프,유통
위지윅스튜디오,오락·문화
위지트,기계·장비
윈스,소프트웨어
윈텍,기계·장비
윈팩,반도체
윈하이텍,금속
윌링스,일반전기전자
윙스풋,유통
윙입푸드,금융
유니셈,반도체
유니슨,기계·장비
유니온커뮤니티,일반전기전자
유니크,운송장비·부품
유니테스트,반도체
유니테크노,운송장비·부품
유니트론텍,유통
유라테크,일반전기전자
유바이오로직스,제약
유비벨록스,소프트웨어
유비온,소프트웨어
유비케어,소프트웨어
유비쿼스,통신장비
유비쿼스홀딩스,금융
유성티엔에스,운송
유신,기타서비스
유아이디,IT부품
유아이엘,IT부품
유안타제10호스팩,금융
유안타제11호스팩,금융
유안타제12호스팩,금융
유안타제13호스팩,금융
유안타제14호스팩,금융
유안타제9호스팩,금융
유에스티,금속
유일로보틱스,기계·장비
유일에너테크,기계·장비
유진기업,비금속
유진로봇,기계·장비
유진스팩6호,금융
유진스팩7호,금융
유진스팩8호,금융
유진스팩9호,금융
유진테크,반도체
유티아이,IT부품
유틸렉스,제약
육일씨엔에쓰,IT부품
윤성에프앤씨,기계·장비
율촌,금속
율호,소프트웨어
이건홀딩스,종이·목재
이글루,소프트웨어
이글벳,유통
이노뎁,소프트웨어
이노룰스,소프트웨어
이노메트리,기계·장비
이노시뮬레이션,디지털컨텐츠
이노시스,의료·정밀기기
이노와이어리스,통신장비
이노인스트루먼트,통신장비
이노진,화학
이노테라피,제약
이녹스,운송장비·부품
이녹스첨단소재,IT부품
이니텍,소프트웨어
이라이콤,IT부품
이랜시스,일반전기전자
이랜텍,IT부품
이루다,의료·정밀기기
이루온,소프트웨어
이미지스,반도체
이베스트투자증권,금융
이브이첨단소재,IT부품
이삭엔지니어링,컴퓨터서비스
이상네트웍스,인터넷
이수앱지스,제약
이스트소프트,소프트웨어
이스트아시아홀딩스,금융
이씨에스,정보기기
이엔에프테크놀로지,화학
이엔코퍼레이션,디지털컨텐츠
이엘피,반도체
이엠넷,기타서비스
이엠앤아이,IT부품
이엠코리아,금속
이엠텍,IT부품
이오테크닉스,반도체
이오플로우,의료·정밀기기
이원컴포텍,운송장비·부품
이즈미디어,의료·정밀기기
이지바이오,음식료·담배
이지케어텍,소프트웨어
이지트로닉스,일반전기전자
이지홀딩스,음식료·담배
이큐셀,기계·장비
이크레더블,기타서비스
이트론,정보기기
이퓨쳐,출판·매체복제
이화공영,건설
이화전기,IT부품
인바디,의료·정밀기기
인바이오,화학
인베니아,기계·장비
인벤티지랩,제약
인산가,음식료·담배
인선이엔티,기타서비스
인성정보,컴퓨터서비스
인스웨이브시스템즈,소프트웨어
인지디스플레,IT부품
인지소프트,소프트웨어
인카금융서비스,금융
인콘,통신장비
인크로스,기타서비스
인탑스,IT부품
인터로조,의료·정밀기기
인터엠,일반전기전자
인터플렉스,IT부품
인텍플러스,반도체
인텔리안테크,일반전기전자
인트로메딕,의료·정밀기기
인트론바이오,제약
인포마크,통신장비
인포바인,통신서비스
인포뱅크,통신서비스
인피니트헬스케어,소프트웨어
인화정공,운송장비·부품
일승,운송장비·부품
일신바이오,기계·장비
일월지엠엘,유통
일지테크,운송장비·부품
일진파워,건설
잉글우드랩,화학
잉크테크,화학
자람테크놀로지,통신장비
자비스,기계·장비
자연과환경,비금속
자이글,일반전기전자
자이언트스텝,오락·문화
장원테크,통신장비
재영솔루텍,IT부품
저스템,반도체
전진바이오팜,화학
정다운,음식료·담배
정상제이엘에스,기타서비스
정원엔시스,컴퓨터서비스
제너셈,반도체
제넥신,기타서비스
제넨바이오,유통
제노레이,의료·정밀기기
제노코,통신장비
제노포커스,제약
제놀루션,제약
제닉,화학
제로투세븐,유통
제룡산업,금속
제룡전기,IT부품
제우스,기계·장비
제이브이엠,기계·장비
제이스코홀딩스,금속
제이스텍,반도체
제이시스메디칼,의료·정밀기기
제이씨케미칼,화학
제이씨현시스템,유통
제이아이테크,반도체
제이앤티씨,일반전기전자
제이에스티나,기타제조
제이엔케이히터,기계·장비
제이엘케이,소프트웨어
제이엠아이,출판·매체복제
제이엠티,IT부품
제이오,기타서비스
제이티,반도체
제일바이오,제약
제일전기공업,일반전기전자
제일테크노스,금속
제주맥주,음식료·담배
제주반도체,반도체
제테마,제약
젠큐릭스,제약
젬백스,기계·장비
젬백스링크,유통
조광ILI,기계·장비
조아제약,제약
조이시티,디지털컨텐츠
좋은사람들,섬유·의류
주성엔지니어링,반도체
줌인터넷,인터넷
중앙백신,제약
중앙에너비스,유통
중앙첨단소재,화학
지노믹트리,기타서비스
지놈앤컴퍼니,제약
지니너스,기타서비스
지니뮤직,디지털컨텐츠
지니언스,소프트웨어
지니틱스,반도체
지더블유바이텍,유통
지란지교시큐리티,출판·매체복제
지씨셀,기타서비스
지아이이노베이션,기타서비스
지아이텍,기계·장비
지앤비에스 에코,기계·장비
지어소프트,소프트웨어
지에스이,전기·가스·수도
지엔씨에너지,일반전기전자
지엔코,섬유·의류
지엘팜텍,기타서비스
지오릿에너지,기타서비스
지오엘리먼트,일반전기전자
지투파워,일반전기전자
지티지웰니스,의료·정밀기기
진로발효,음식료·담배
진매트릭스,기타서비스
진바이오텍,유통
진성티이씨,기계·장비
진시스템,의료·정밀기기
진양제약,제약
진영,화학
차바이오텍,제약
차백신연구소,기타서비스
참좋은여행,기타서비스
창해에탄올,음식료·담배
천보,화학
청담글로벌,유통
체리부로,음식료·담배
초록뱀미디어,오락·문화
칩스앤미디어,반도체
카나리아바이오,음식료·담배
카스,유통
카이노스메드,기타서비스
카카오게임즈,디지털컨텐츠
카페24,인터넷
캐리소프트,오락·문화
캐스텍코리아,운송장비·부품
캠시스,IT부품
커넥트웨이브,인터넷
커머스마이너,유통
컬러레이,금융
컴투스,디지털컨텐츠
컴투스홀딩스,디지털컨텐츠
컴퍼니케이,금융
케스피온,통신장비
케어랩스,기타서비스
케어젠,제약
케이디켐,화학
케이바이오,유통
케이비제21호스팩,금융
케이비제22호스팩,금융
케이비제23호스팩,금융
케이사인,소프트웨어
케이씨에스,컴퓨터서비스
케이씨티,컴퓨터서비스
케이씨피드,음식료·담배
케이아이엔엑스,인터넷
케이알엠,반도체
케이에스피,기계·장비
케이엔더블유,운송장비·부품
케이엔솔,기계·장비
케이엔제이,반도체
케이엘넷,통신서비스
케이엠,섬유·의류
케이엠더블유,통신장비
케이엠제약,화학
케이옥션,유통
케이티알파,유통
케이프,운송장비·부품
케이피에스,반도체
케이피에프,금속
케이피엠테크,화학
케이피티유,금속
케일럼,금속
켄코아에어로스페이스,운송장비·부품
켐트로닉스,화학
켐트로스,화학
코나아이,소프트웨어
코난테크놀로지,소프트웨어
코닉오토메이션,소프트웨어
코다코,운송장비·부품
코데즈컴바인,섬유·의류
코드네이처,유통
코디,화학
코렌텍,의료·정밀기기
코리아나,화학
코리아에셋투자증권,금융
코리아에프티,운송장비·부품
코맥스,통신장비
코메론,의료·정밀기기
코미코,반도체
코미팜,제약
코세스,반도체
코센,금속
코스나인,화학
코스맥스엔비티,음식료·담배
코스메카코리아,화학
코스온,화학
코스텍시스,반도체
코아스템켐온,제약
코아시아,IT부품
코아시아씨엠,의료·정밀기기
코어라인소프트,소프트웨어
코엔텍,기타서비스
코오롱생명과학,제약
코오롱티슈진,제약
코웰패션,유통
코위버,통신장비
코윈테크,기계·장비
코이즈,IT부품
코츠테크놀로지,정보기기
코콤,통신장비
코텍,정보기기
코퍼스코리아,오락·문화
콜마비앤에이치,제약
쿠콘,소프트웨어
퀀타매트릭스,의료·정밀기기
큐라클,기타서비스
큐라티스,기타서비스
큐렉소,유통
큐로컴,컴퓨터서비스
큐로홀딩스,유통
큐리언트,기타서비스
큐리옥스바이오시스템즈,의료·정밀기기
큐브엔터,오락·문화
큐알티,기타서비스
큐에스아이,반도체
큐캐피탈,금융
크라우드웍스,소프트웨어
크레버스,기타서비스
크루셜텍,IT부품
크리스에프앤씨,섬유·의류
크리스탈신소재,금융
크린앤사이언스,기계·장비
클라우드에어,반도체
클래시스,의료·정밀기기
클리노믹스,기타서비스
클리오,화학
키네마스터,소프트웨어
키움제6호스팩,금융
키움제7호스팩,금융
키움제8호스팩,금융
키이스트,오락·문화
타이거일렉,반도체
탑머티리얼,일반전기전자
탑엔지니어링,기계·장비
탑코미디어,통신장비
태광,금속
태성,기계·장비
태양,금속
태웅,금속
태웅로직스,운송
테고사이언스,제약
테라사이언스,금속
테라젠이텍스,제약
테스,반도체
테크엘,반도체
테크윙,반도체
텔레칩스,반도체
텔레필드,통신장비
텔콘RF제약,통신장비
토마토시스템,소프트웨어
토박스코리아,유통
토비스,정보기기
토탈소프트,소프트웨어
톱텍,기계·장비
투비소프트,소프트웨어
툴젠,기타서비스
트루엔,정보기기
트루윈,일반전기전자
트윔,소프트웨어
특수건설,건설
티라유텍,소프트웨어
티로보틱스,기계·장비
티비씨,방송서비스
